q,seed,ok,n_src,n_rec,matched,x,y,kappa_star,slope,rchi2
0.5,10024,True,100,1,True,-0.9987158707373136,-0.6821457518547926,0.24710920533338923,0.6950140790895849,0.945194358588805
0.5,10025,True,100,1,True,0.5391136407564233,1.2693510483377781,0.23429423039869088,0.6713903014921276,1.0560181721803534
0.5,10026,True,100,1,True,0.25868038685733385,-0.5836720773235085,0.290561380724536,0.6348336932330418,1.0042532711665473
0.5,10027,True,99,2,True,0.5884361968064693,0.2534983066257389,0.1772176921082589,0.7354734385996925,1.0533260577677066
0.5,10028,True,99,1,True,-0.06819744514170734,0.06866076768788291,0.29533905041145275,0.5801614033522955,1.1553302884736096
0.5,10029,True,100,1,True,0.9962432886848736,0.5872902592998265,0.1716972161909414,0.8092675091075964,1.1873628528708566
0.5,10030,True,99,1,True,0.0007177327799009869,0.9292472228295069,0.251663132987244,0.6782359616045447,0.9958260123631592
0.5,10031,True,98,1,True,-0.20097776664042605,0.6370071279205929,0.35279918740044275,0.5624288602641394,1.018498589479422
0.5,10032,True,99,1,True,-0.5678138461011167,-0.10919800659358352,0.3146748907886502,0.5980703606295059,1.2000625665319256
0.5,10033,True,99,1,True,0.902651101182856,0.5356148959782918,0.30428515721721755,0.6276644284289462,1.0088857252709251
0.5,10034,True,99,1,True,-0.07936983026396845,0.15374500906873034,0.1933887698844708,0.7907770378614016,1.1343473275999403
0.5,10035,True,99,1,True,0.342113817068742,-0.5174633921168037,0.35472226833343323,0.5831525340574644,1.1019349772784974
0.5,10036,True,99,1,True,0.7939966523216943,-0.3407900692944408,0.18951653262386242,0.7590647826730983,1.1219237531198578
0.5,10037,True,98,1,True,0.06581343887298907,0.47318538893556955,0.16578054326851865,0.8897056169992045,1.2507185618527603
0.5,10038,True,99,2,True,-0.12825601096689726,0.7845370686536424,0.24652962337073117,0.6749677125732445,0.9614026988576956
0.5,10039,True,100,1,True,-1.4493546388588756,-0.9519818626484507,0.23056707778467606,0.7020918877244509,1.0127963393148796
0.5,10040,True,98,1,True,-0.26898910010255545,-0.026184476316375452,0.24228638818570483,0.7203397237297502,0.9469556120213957
0.5,10041,True,100,3,True,-0.05686462857740304,-0.08238611757842877,0.14702837630165516,0.8815111881539306,0.9957091255835702
0.5,10042,True,99,1,True,-0.5211441170151495,-0.5380328128537648,0.31827744517377393,0.6176762837322695,1.2715014809867646
0.5,10043,True,100,1,True,-0.15529666750452634,-0.13282711690398175,0.20661905931132116,0.7632825689980389,0.9598944606469959
0.5,10044,True,99,1,True,-0.8206570600779662,0.6451101003872084,0.27191114121193977,0.6822801639352039,1.0051045725119552
0.5,10045,True,99,2,True,-0.029356325804199414,0.5866683854967514,0.2716325491919731,0.6957934586215935,1.0142037066664205
0.5,10046,True,99,1,True,-0.5334431759606822,-0.6289162313372928,0.25842006170338866,0.662173059472158,0.9512041463063206
0.5,10047,True,99,1,True,1.4310252295278274,1.424936056782005,0.3781371612256217,0.5304335963189736,1.0476406861852186
0.5,10048,True,98,1,True,0.6096554849580698,0.8211153470538914,0.386216507409888,0.5503314541864213,0.9779519989515801
0.5,10049,True,100,1,True,-1.391473433898684,-1.0688648369296243,0.18221042204648977,0.8082526564881751,0.9716837237314063
0.7,9000,True,99,2,True,-0.46321295875491864,-0.24651919786961268,0.14915438851139398,0.9099915404473541,0.9895093469663566
0.7,9001,True,100,1,True,-0.7832744855017291,-0.5304505515724203,0.34883068015726343,0.5846994593110075,1.121310709789297
0.7,9002,True,100,1,True,0.12846018805517345,0.181070077573141,0.32493253381865733,0.6130979474431135,0.9395546811293646
0.7,9003,True,99,1,True,-0.37727818211188024,-1.246230555270544,0.38178709373481573,0.5557709766438839,1.0423266652256256
0.7,9004,True,99,1,True,-0.8543990720964821,-0.5366843955046854,0.29627818595988875,0.6125828631827062,1.0322854833541408
0.7,9005,True,99,2,True,0.8089557569025205,0.5231060136706772,0.2591201035302591,0.6447475950656014,0.9927949486996199
0.7,9006,True,99,1,True,-0.022610872803978693,-0.004709239553228425,0.20155932811440194,0.764270598611754,1.023495296978429
0.7,9007,True,100,1,True,0.08148441432030006,0.0787914041124059,0.23412328285945044,0.722022450515339,0.8892295433257814
0.7,9008,True,99,1,True,0.05499753647522056,-0.3230505118535832,0.49093617293943204,0.40826249321313773,1.096278232225869
0.7,9009,True,99,1,True,0.2893111324922356,0.011867793344142988,0.250600814352964,0.6730449471327264,1.1068473768990845
0.7,9010,True,97,1,True,-0.7990064706757438,-1.1625672796657396,0.18227717105512062,0.8110688519722259,1.0384855699873028
0.7,9011,True,98,3,True,0.15918080818237945,0.237405500972948,0.18360883604192926,0.7805800690949521,1.0024063820456168
0.7,9012,True,97,2,True,-0.06188993002000873,0.1876765329070007,0.16055591849917464,0.8234283324227327,1.077709065110996
0.7,9013,True,100,1,True,-0.39509360406335026,-0.081984262077274,0.29578718115800773,0.6183329781233309,1.081436187588144
0.7,9014,True,96,2,True,-0.23393390320787627,0.3032004460832161,0.269721369151276,0.70071557593703,0.9619836613727738
