catalog,src_id,img_id,ra_deg,dec_deg,theta_x_arcsec,theta_y_arcsec,z,z_type,z_err,pos_err_arcsec,notes
Furtak2023,24866,24866.1,3.614643,-30.379955,81.718625,72.658090,,unknown,,,from_vizier
Furtak2023,24867,24867.1,3.607329,-30.380016,59.004586,72.441986,,unknown,,,from_vizier
Furtak2023,24868,24868.1,3.601978,-30.380043,42.385667,72.347402,,unknown,,,from_vizier
Furtak2023,24869,24869.1,3.602026,-30.379957,42.534933,72.654997,,unknown,,,from_vizier
Furtak2023,24870,24870.1,3.593256,-30.379960,15.299658,72.646961,,unknown,,,from_vizier
Furtak2023,24871,24871.1,3.588423,-30.379944,0.288349,72.704531,,unknown,,,from_vizier
Furtak2023,24872,24872.1,3.546314,-30.379933,-130.489077,72.722502,,unknown,,,from_vizier
Furtak2023,24873,24873.1,3.605458,-30.379985,53.193279,72.553152,,unknown,,,from_vizier
Furtak2023,24874,24874.1,3.596096,-30.379949,24.118855,72.685784,,unknown,,,from_vizier
Furtak2023,24875,24875.1,3.551350,-30.380649,-114.848624,70.147551,,unknown,,,from_vizier
Furtak2023,24876,24876.1,3.551548,-30.380307,-114.231516,71.379426,,unknown,,,from_vizier
Furtak2023,24877,24877.1,3.632746,-30.379896,137.943634,72.852692,,unknown,,,from_vizier
Furtak2023,24878,24878.1,3.595321,-30.380504,21.712401,70.690249,,unknown,,,from_vizier
Furtak2023,24879,24879.1,3.595393,-30.380389,21.935183,71.101351,,unknown,,,from_vizier
Furtak2023,24880,24880.1,3.595477,-30.380272,22.195548,71.523435,,unknown,,,from_vizier
Furtak2023,24881,24881.1,3.595572,-30.380081,22.489822,72.211288,,unknown,,,from_vizier
Furtak2023,24882,24882.1,3.595474,-30.379994,22.187192,72.524401,,unknown,,,from_vizier
Furtak2023,24883,24883.1,3.594984,-30.380344,20.666586,71.266218,,unknown,,,from_vizier
Furtak2023,24884,24884.1,3.595235,-30.380298,21.445961,71.428849,,unknown,,,from_vizier
Furtak2023,24885,24885.1,3.595147,-30.380551,21.170187,70.520498,,unknown,,,from_vizier
Furtak2023,24886,24886.1,3.549338,-30.379898,-121.097867,72.851765,,unknown,,,from_vizier
Furtak2023,24887,24887.1,3.518015,-30.379959,-218.375191,72.585503,,unknown,,,from_vizier
Furtak2023,24888,24888.1,3.513724,-30.379904,-231.703576,72.772627,,unknown,,,from_vizier
Furtak2023,24889,24889.1,3.508850,-30.379900,-246.839427,72.776894,,unknown,,,from_vizier
Furtak2023,24890,24890.1,3.506977,-30.379947,-252.656574,72.604580,,unknown,,,from_vizier
Furtak2023,24891,24891.1,3.630122,-30.379901,129.791963,72.836409,,unknown,,,from_vizier
Furtak2023,24892,24892.1,3.587698,-30.379918,-1.964221,72.797745,,unknown,,,from_vizier
Furtak2023,24893,24893.1,3.582949,-30.379940,-16.713207,72.718950,,unknown,,,from_vizier
Furtak2023,24894,24894.1,3.577558,-30.379907,-33.455252,72.835590,,unknown,,,from_vizier
Furtak2023,24895,24895.1,3.540071,-30.380022,-149.876563,72.391133,,unknown,,,from_vizier
Furtak2023,24896,24896.1,3.540155,-30.379929,-149.615232,72.729317,,unknown,,,from_vizier
